,ACRU,ACSA,ACSP,CACA,CACO,CASP,CEOR,COAL,COFO,COSP,CRSP,EUOB,FAGR,FRAM,ILSP,LIBE,LISP,LITU,LOMO,MASP,NYSY,OSVI,PAQU,PIST,PRSE,PRVI,QUAL,QURU,RHFR,ROMU,RUAL,RUSP,SAAL,SODU,ULRU,VIAC,VIDE,VIRI,VISP
IC_2020_North,2,0,0,0,2,0,0,0,3,0,0,1,0,83,0,0,0,0,1,0,1,0,0,0,2,0,0,1,6,1,0,0,0,0,1,0,4,0,0
IC_2021_North,1,0,3,0,2,0,0,0,3,0,0,1,0,80,0,0,0,2,1,0,1,0,0,0,2,0,0,2,7,1,0,0,0,0,1,0,5,0,0
IC_2022_North,1,0,2,0,2,0,0,0,3,0,0,1,0,75,0,0,0,4,1,0,1,0,0,0,2,0,0,2,7,1,0,0,0,0,1,0,5,0,0
IC_2023_North,4,0,2,0,2,0,0,0,3,0,0,1,0,69,0,0,0,2,1,1,1,0,0,0,2,0,0,2,10,1,0,0,0,0,1,0,4,0,0
IC_2024_North,4,0,0,0,2,0,0,0,3,0,0,1,0,63,0,0,0,4,1,1,1,0,1,0,2,0,0,0,10,0,0,0,0,0,1,0,4,0,0
IC_2025_North,4,0,0,0,2,0,0,0,2,0,0,1,0,61,0,0,0,3,1,1,1,0,1,0,2,0,0,1,10,0,1,0,0,0,1,0,4,0,0
IC_2019_South,0,2,0,0,0,0,0,0,0,0,0,1,1,24,0,1,0,0,1,1,0,0,2,0,3,1,0,1,4,0,7,3,0,0,0,0,1,0,0
IC_2020_South,3,11,0,0,0,0,0,0,0,0,0,1,1,22,0,2,0,1,1,1,0,0,4,0,3,2,0,2,4,0,10,0,0,0,0,1,1,0,0
IC_2021_South,5,11,0,0,0,0,0,0,0,0,0,1,1,23,0,2,0,4,1,1,0,0,4,0,2,2,0,2,7,0,10,0,0,0,0,2,2,0,0
IC_2022_South,4,9,0,0,0,0,0,0,0,0,0,1,1,21,0,2,0,2,1,1,1,0,3,0,13,2,0,3,8,0,10,0,0,0,0,1,1,0,0
IC_2023_South,4,7,0,0,1,0,0,0,0,0,0,1,1,20,0,3,0,1,1,1,1,0,4,0,8,2,0,3,8,0,5,0,0,0,0,1,1,0,0
IC_2024_South,3,15,0,0,1,0,0,0,0,0,0,1,2,18,0,2,0,1,1,1,1,0,4,0,4,2,0,3,5,3,6,0,0,0,0,0,0,0,1
IC_2025_South,4,14,0,0,1,0,0,0,0,0,0,1,2,18,0,2,0,0,1,1,1,0,5,0,3,2,0,7,6,3,7,6,0,0,0,0,0,0,1
