Year,Block,Plot,Tag,DBH2010,Flag2010,correct.treatments
2020,PC,9,743,9.2,,TSP
2021,PC,9,721,8.2,,TSP
2021,PC,9,728,13,,TSP
2021,PC,9,737,10.3,,TSP
2021,PC,9,743,9.1,,TSP
2022,PC,9,721,8.3,,TSP
2022,PC,9,728,12.9,"2010 top of tree broken off, but not topkilled",TSP
2022,PC,9,737,10.2,,TSP
2022,PC,9,743,9,2017 not looking good,TSP
2023,PC,9,721,8.4,,TSP
2023,PC,9,728,12.9,,TSP
2023,PC,9,737,10.3,,TSP
2023,PC,9,743,9,"BLD bad, slightly alive",TSP
2024,PC,9,721,8.5,,TSP
2024,PC,9,728,13,,TSP
2024,PC,9,737,10.5,,TSP
2024,PC,9,743,9.1,alive and ok; measured over scar,TSP
2025,PC,9,721,8.5,,TSP
2025,PC,9,728,13,,TSP
2025,PC,9,737,10.5,,TSP
2025,PC,9,743,9,missing tag,TSP
2010,PC,11,806,9.8,0,Lime
2010,PC,11,824,9.1,0,Lime
2010,PC,11,825,6.7,0,Lime
2011,PC,11,806,10.4,0,Lime
2011,PC,11,824,9.5,0,Lime
2011,PC,11,825,6.8,0,Lime
2012,PC,11,806,10.5,10.5,Lime
2012,PC,11,824,9.5,9.5,Lime
2012,PC,11,825,6.9,6.9,Lime
2013,PC,11,806,10.8,0,Lime
2013,PC,11,824,9.7,0,Lime
2013,PC,11,825,7,0,Lime
2014,PC,11,806,10.9,,Lime
2014,PC,11,824,9.9,,Lime
2014,PC,11,825,7,,Lime
2015,PC,11,806,11.2,,Lime
2015,PC,11,824,10,,Lime
2015,PC,11,825,7.2,,Lime
2016,PC,11,806,11.3,,Lime
2016,PC,11,824,10.2,,Lime
2016,PC,11,825,7.3,,Lime
2017,PC,11,806,11.7,,Lime
2017,PC,11,824,10.3,,Lime
2017,PC,11,825,7.3,,Lime
2018,PC,11,806,11.7,,Lime
2018,PC,11,824,10.3,,Lime
2018,PC,11,825,7.2,,Lime
2019,PC,11,806,11.9,,Lime
2019,PC,11,824,10.3,,Lime
2019,PC,11,825,7.2,,Lime
2020,PC,11,806,12.3,,Lime
2020,PC,11,824,10.3,,Lime
2020,PC,11,825,7.3,,Lime
2021,PC,11,806,12.3,,Lime
2021,PC,11,824,10.3,,Lime
2021,PC,11,825,7.2,,Lime
2022,PC,11,806,12.5,,Lime
2022,PC,11,824,10.3,"2017 almost dead, 2022 bad BLD but alive",Lime
2022,PC,11,825,7.2,"2017 almost dead, 2022 bad BLD but alive",Lime
2023,PC,11,806,12.5,,Lime
2023,PC,11,824,10.4,bad BLD,Lime
2023,PC,11,825,7.3,bad BLD but alive,Lime
2024,PC,11,806,12.8,meas. below branch,Lime
2024,PC,11,824,10.3,bad BLD; alive,Lime
2024,PC,11,825,7.2,bad BLD; alive,Lime
2025,PC,11,806,13,,Lime
2025,PC,11,824,10.4,,Lime
2025,PC,11,825,7.2,,Lime
2010,PC,12,851,6.1,0,Control
2010,PC,12,854,7.6,0,Control
2010,PC,12,857,8.4,0,Control
2010,PC,12,863,6.4,0,Control
2011,PC,12,851,6.7,0,Control
2011,PC,12,854,8.1,0,Control
2011,PC,12,857,9,0,Control
2011,PC,12,863,6.9,0,Control
2012,PC,12,851,6.7,6.7,Control
2012,PC,12,854,8,8,Control
2012,PC,12,857,9.1,9.1,Control
2012,PC,12,863,7,7,Control
2013,PC,12,851,7,0,Control
2013,PC,12,854,8.4,0,Control
2013,PC,12,857,9.2,0,Control
2013,PC,12,863,7.1,0,Control
2014,PC,12,851,7.2,,Control
2014,PC,12,854,8.9,,Control
2014,PC,12,857,9.6,,Control
2014,PC,12,863,7.4,,Control
2015,PC,12,851,7.3,,Control
2015,PC,12,854,8.4,,Control
2015,PC,12,857,9.7,,Control
2015,PC,12,863,7.6,,Control
2016,PC,12,851,7.5,,Control
2016,PC,12,854,8.6,,Control
2016,PC,12,857,9.8,,Control
2016,PC,12,863,7.7,,Control
2017,PC,12,851,7.7,,Control
2017,PC,12,854,8.6,,Control
2017,PC,12,857,10,,Control
2017,PC,12,863,7.8,,Control
2018,PC,12,851,7.8,,Control
2018,PC,12,854,,,Control
2018,PC,12,857,10.1,,Control
2018,PC,12,863,7.8,,Control
2019,PC,12,851,8,,Control
2019,PC,12,854,8.8,,Control
2019,PC,12,857,10.3,,Control
2019,PC,12,863,8,,Control
2020,PC,12,851,7.9,,Control
2020,PC,12,854,9.3,,Control
2020,PC,12,857,10.4,,Control
2020,PC,12,863,8,,Control
2021,PC,12,851,8.2,,Control
2021,PC,12,854,9.1,,Control
2021,PC,12,857,10.6,,Control
2021,PC,12,863,8,,Control
2022,PC,12,851,8.4,,Control
2022,PC,12,854,9.3,,Control
2022,PC,12,857,10.8,,Control
2022,PC,12,863,8,,Control
2023,PC,12,851,8.4,,Control
2023,PC,12,854,9.2,,Control
2023,PC,12,857,10.8,,Control
2023,PC,12,863,8,,Control
2024,PC,12,851,8.7,,Control
2024,PC,12,854,9.6,,Control
2024,PC,12,857,11.2,,Control
2024,PC,12,863,8,,Control
2025,PC,12,851,8.6,,Control
2025,PC,12,854,9.6,,Control
2025,PC,12,857,11.3,,Control
2025,PC,12,863,8.2,,Control
2010,SC,1,2,31.5,0,Lime
2010,SC,1,15,6.6,0,Lime
2010,SC,1,16,9.2,0,Lime
2011,SC,1,2,31.6,0,Lime
2011,SC,1,15,7,0,Lime
2011,SC,1,16,9.3,0,Lime
2012,SC,1,2,32,32,Lime
2012,SC,1,15,7.2,7.2,Lime
2012,SC,1,16,9.4,9.4,Lime
2013,SC,1,2,31.9,1,Lime
2013,SC,1,15,7.3,0,Lime
2013,SC,1,16,9.4,0,Lime
2014,SC,1,2,32.3,,Lime
2014,SC,1,15,7.4,,Lime
2014,SC,1,16,9.4,,Lime
2015,SC,1,2,32.3,,Lime
2015,SC,1,15,7.5,,Lime
2015,SC,1,16,9.6,,Lime
2016,SC,1,2,32.4,,Lime
2016,SC,1,15,7.5,,Lime
2016,SC,1,16,9.6,,Lime
2017,SC,1,2,32.5,,Lime
2017,SC,1,15,7.7,,Lime
2017,SC,1,16,9.6,,Lime
2018,SC,1,2,32.7,,Lime
2018,SC,1,15,7.8,,Lime
2018,SC,1,16,9.7,,Lime
2019,SC,1,2,33,,Lime
2019,SC,1,15,8,,Lime
2019,SC,1,16,10,,Lime
2020,SC,1,2,33.1,,Lime
2020,SC,1,15,8.1,,Lime
2020,SC,1,16,10,,Lime
2021,SC,1,2,33.2,,Lime
2021,SC,1,15,8.2,,Lime
2021,SC,1,16,10.2,,Lime
2022,SC,1,2,33.5,2013 real measurement,Lime
2022,SC,1,15,8.2,,Lime
2022,SC,1,16,10.5,,Lime
2023,SC,1,2,33.8,,Lime
2023,SC,1,15,8.3,,Lime
2023,SC,1,16,10.7,,Lime
2024,SC,1,2,33.9,,Lime
2024,SC,1,15,8.2,,Lime
2024,SC,1,16,10.8,,Lime
2025,SC,1,2,33.9,,Lime
2025,SC,1,15,8.2,,Lime
2025,SC,1,16,10.7,,Lime
2010,SC,5,211,22.3,0,Control
2010,SC,5,215,8.8,0,Control
2010,SC,5,216,7.5,0,Control
2010,SC,5,243,10.7,0,Control
2011,SC,5,211,22.5,0,Control
2011,SC,5,215,8.9,0,Control
2011,SC,5,216,7.5,0,Control
2011,SC,5,243,10.8,0,Control
2012,SC,5,211,22.6,22.6,Control
2012,SC,5,215,9,9,Control
2012,SC,5,216,7.5,7.5,Control
2012,SC,5,243,10.8,10.8,Control
2013,SC,5,211,22.6,0,Control
2013,SC,5,215,9,0,Control
2013,SC,5,216,7.5,0,Control
2013,SC,5,243,11.1,0,Control
2014,SC,5,211,22.9,,Control
2014,SC,5,215,8.9,,Control
2014,SC,5,216,7.6,,Control
2014,SC,5,243,11.2,,Control
2015,SC,5,211,23.1,,Control
2015,SC,5,215,9,,Control
2015,SC,5,216,7.6,,Control
2015,SC,5,243,11.3,,Control
2016,SC,5,211,23.1,,Control
2016,SC,5,215,9.1,,Control
2016,SC,5,216,7.6,,Control
2016,SC,5,243,10.9,,Control
2017,SC,5,211,23.2,,Control
2017,SC,5,215,9.1,,Control
2017,SC,5,216,7.5,,Control
2017,SC,5,243,10.8,,Control
2018,SC,5,211,23.4,,Control
2018,SC,5,215,9.1,,Control
2018,SC,5,216,7.6,,Control
2018,SC,5,243,10.8,,Control
2019,SC,5,211,23.8,,Control
2019,SC,5,215,9.3,,Control
2019,SC,5,216,7.5,,Control
2019,SC,5,243,11.1,,Control
2020,SC,5,211,23.8,,Control
2020,SC,5,215,9.3,,Control
2020,SC,5,216,7.5,,Control
2020,SC,5,243,11.2,,Control
2021,SC,5,211,24,,Control
2021,SC,5,215,9.2,,Control
2021,SC,5,216,7.7,,Control
2021,SC,5,243,11.1,,Control
2022,SC,5,211,24,,Control
2022,SC,5,215,9.2,2021 real,Control
2022,SC,5,216,7.6,,Control
2022,SC,5,243,11,2010 and 2013 meas on diagonal due to sprout; 2014 main stem only,Control
2023,SC,5,211,24.1,,Control
2023,SC,5,215,9.1,,Control
2023,SC,5,216,7.7,,Control
2023,SC,5,243,11,,Control
2024,SC,5,211,24.4,meas. on nail bump,Control
2024,SC,5,215,9.3,"bad BLD, bumpy",Control
2024,SC,5,216,7.7,,Control
2024,SC,5,243,11,,Control
2025,SC,5,211,24.5,,Control
2025,SC,5,215,9.2,,Control
2025,SC,5,216,7.6,,Control
2025,SC,5,243,11.1,under branch bump,Control
2010,SC,7,294,64.4,0,Lime
2010,SC,7,296,36,0,Lime
2010,SC,7,297,15,0,Lime
2010,SC,7,298,18,0,Lime
2010,SC,7,335,6.5,0,Lime
2011,SC,7,294,65.3,0,Lime
2011,SC,7,296,36,0,Lime
2011,SC,7,297,15.1,0,Lime
2011,SC,7,298,18.5,0,Lime
2011,SC,7,335,6.7,0,Lime
2012,SC,7,294,66.2,66.2,Lime
2012,SC,7,296,36.1,36.1,Lime
2012,SC,7,297,15.1,15.1,Lime
2012,SC,7,298,18.7,18.7,Lime
2012,SC,7,335,6.9,6.9,Lime
2013,SC,7,294,66,1,Lime
2013,SC,7,296,36.2,0,Lime
2013,SC,7,297,15.3,0,Lime
2013,SC,7,298,18.7,0,Lime
2013,SC,7,335,6.8,1,Lime
2014,SC,7,294,67.1,,Lime
2014,SC,7,296,36.3,,Lime
2014,SC,7,297,15.2,,Lime
2014,SC,7,298,19.1,,Lime
2014,SC,7,335,6.9,,Lime
2015,SC,7,294,67.3,,Lime
2015,SC,7,296,36.3,,Lime
2015,SC,7,297,15.2,,Lime
2015,SC,7,298,19.3,,Lime
2015,SC,7,335,6.9,,Lime
2016,SC,7,294,67.6,,Lime
2016,SC,7,296,36.5,,Lime
2016,SC,7,297,15.3,,Lime
2016,SC,7,298,19.4,,Lime
2016,SC,7,335,6.9,,Lime
2017,SC,7,294,67.9,,Lime
2017,SC,7,296,36.5,,Lime
2017,SC,7,297,15.4,,Lime
2017,SC,7,298,19.7,,Lime
2017,SC,7,335,6.9,,Lime
2018,SC,7,294,68.1,,Lime
2018,SC,7,296,36.5,,Lime
2018,SC,7,297,15.4,,Lime
2018,SC,7,298,19.8,,Lime
2018,SC,7,335,6.8,,Lime
2019,SC,7,294,68.4,,Lime
2019,SC,7,296,36.8,,Lime
2019,SC,7,297,15.5,,Lime
2019,SC,7,298,20,,Lime
2019,SC,7,335,6.9,,Lime
2020,SC,7,294,70.3,,Lime
2020,SC,7,296,37,,Lime
2020,SC,7,297,15.6,,Lime
2020,SC,7,298,20.3,,Lime
2020,SC,7,335,6.9,,Lime
2021,SC,7,294,71,,Lime
2021,SC,7,296,37.2,,Lime
2021,SC,7,297,15.6,,Lime
2021,SC,7,298,20.3,,Lime
2021,SC,7,335,7,,Lime
2022,SC,7,294,70.9,2013 measurement real,Lime
2022,SC,7,296,37,,Lime
2022,SC,7,297,15.6,,Lime
2022,SC,7,298,20.3,,Lime
2022,SC,7,335,7,2013 measure including divot from nail,Lime
2023,SC,7,294,71.3,,Lime
2023,SC,7,296,37.3,,Lime
2023,SC,7,297,15.6,,Lime
2023,SC,7,298,20.3,,Lime
2023,SC,7,335,7,,Lime
2024,SC,7,294,72,ridges in bark,Lime
2024,SC,7,296,37.4,,Lime
2024,SC,7,297,15.7,,Lime
2024,SC,7,298,20.4,,Lime
2024,SC,7,335,7.1,BLD,Lime
2025,SC,7,294,72.7,,Lime
2025,SC,7,296,37.3,,Lime
2025,SC,7,297,15.7,,Lime
2025,SC,7,298,20.4,,Lime
2025,SC,7,335,6.9,,Lime
2010,SC,8,345,54.8,0,X-Trt
2010,SC,8,347,17,0,X-Trt
2010,SC,8,352,13.4,0,X-Trt
2010,SC,8,354,8.8,0,X-Trt
2010,SC,8,357,46.7,0,X-Trt
2010,SC,8,358,9.8,0,X-Trt
2010,SC,8,362,46.8,0,X-Trt
2010,SC,8,363,54.3,0,X-Trt
2010,SC,8,365,35.9,0,X-Trt
2010,SC,8,368,14.6,0,X-Trt
2010,SC,8,951,,99,X-Trt
2011,SC,8,345,55.2,0,X-Trt
2011,SC,8,347,17.2,0,X-Trt
2011,SC,8,352,13.6,0,X-Trt
2011,SC,8,354,9.2,0,X-Trt
2011,SC,8,357,47.2,0,X-Trt
2011,SC,8,358,9.9,0,X-Trt
2011,SC,8,362,47.1,0,X-Trt
2011,SC,8,363,55,0,X-Trt
2011,SC,8,365,36,0,X-Trt
2011,SC,8,368,14.7,0,X-Trt
2011,SC,8,951,,99,X-Trt
2012,SC,8,345,55.5,55.5,X-Trt
2012,SC,8,347,17.3,17.3,X-Trt
2012,SC,8,352,14,14,X-Trt
2012,SC,8,354,9.7,9.7,X-Trt
2012,SC,8,357,47.8,47.8,X-Trt
2012,SC,8,358,10.1,10.1,X-Trt
2012,SC,8,362,47.3,47.3,X-Trt
2012,SC,8,363,55.2,55.2,X-Trt
2012,SC,8,365,36.2,36.2,X-Trt
2012,SC,8,368,14.9,14.9,X-Trt
2012,SC,8,951,,,X-Trt
2013,SC,8,345,55.7,0,X-Trt
2013,SC,8,347,17.4,0,X-Trt
2013,SC,8,352,14,0,X-Trt
2013,SC,8,354,9.9,0,X-Trt
2013,SC,8,357,47.7,1,X-Trt
2013,SC,8,358,9.9,1,X-Trt
2013,SC,8,362,47.3,0,X-Trt
2013,SC,8,363,55.4,0,X-Trt
2013,SC,8,365,36.3,0,X-Trt
2013,SC,8,368,15,0,X-Trt
2013,SC,8,951,7.8,7,X-Trt
2014,SC,8,345,56.1,,X-Trt
2014,SC,8,347,17.5,,X-Trt
2014,SC,8,352,14.2,,X-Trt
2014,SC,8,354,10.4,,X-Trt
2014,SC,8,357,48,,X-Trt
2014,SC,8,358,9.9,,X-Trt
2014,SC,8,362,47.5,,X-Trt
2014,SC,8,363,55.4,,X-Trt
2014,SC,8,365,36.6,,X-Trt
2014,SC,8,368,15,,X-Trt
2014,SC,8,951,8.1,,X-Trt
2015,SC,8,345,56.4,,X-Trt
2015,SC,8,347,17.9,,X-Trt
2015,SC,8,352,14.9,,X-Trt
2015,SC,8,354,11,,X-Trt
2015,SC,8,357,48.1,,X-Trt
2015,SC,8,358,10.1,,X-Trt
2015,SC,8,362,47.5,,X-Trt
2015,SC,8,363,55.9,,X-Trt
2015,SC,8,365,36.8,,X-Trt
2015,SC,8,368,15.1,,X-Trt
2015,SC,8,951,8.2,,X-Trt
2016,SC,8,345,56.7,,X-Trt
2016,SC,8,347,17.9,,X-Trt
2016,SC,8,352,15,,X-Trt
2016,SC,8,354,11.3,,X-Trt
2016,SC,8,357,48.1,,X-Trt
2016,SC,8,358,10,,X-Trt
2016,SC,8,362,47.5,,X-Trt
2016,SC,8,363,56,,X-Trt
2016,SC,8,365,36.9,,X-Trt
2016,SC,8,368,15.1,,X-Trt
2016,SC,8,951,8.5,,X-Trt
2017,SC,8,345,56.8,,X-Trt
2017,SC,8,347,18,,X-Trt
2017,SC,8,352,15.2,,X-Trt
2017,SC,8,354,11.5,,X-Trt
2017,SC,8,357,48.4,,X-Trt
2017,SC,8,358,10,,X-Trt
2017,SC,8,362,47.5,,X-Trt
2017,SC,8,363,56.1,,X-Trt
2017,SC,8,365,37,,X-Trt
2017,SC,8,368,15.1,,X-Trt
2017,SC,8,951,,,X-Trt
2018,SC,8,345,57,,X-Trt
2018,SC,8,347,18,,X-Trt
2018,SC,8,352,15.7,,X-Trt
2018,SC,8,354,11.9,,X-Trt
2018,SC,8,357,48.4,,X-Trt
2018,SC,8,358,10,,X-Trt
2018,SC,8,362,47.5,,X-Trt
2018,SC,8,363,56.2,,X-Trt
2018,SC,8,365,37.1,,X-Trt
2018,SC,8,368,15.1,,X-Trt
2018,SC,8,951,8.8,,X-Trt
2019,SC,8,345,57.4,,X-Trt
2019,SC,8,347,18.4,,X-Trt
2019,SC,8,352,16,,X-Trt
2019,SC,8,354,12.5,,X-Trt
2019,SC,8,357,48.8,,X-Trt
2019,SC,8,358,10.1,,X-Trt
2019,SC,8,362,47.9,,X-Trt
2019,SC,8,363,56.5,,X-Trt
2019,SC,8,365,37.6,,X-Trt
2019,SC,8,368,15.2,,X-Trt
2019,SC,8,951,9,,X-Trt
2020,SC,8,345,58.6,,X-Trt
2020,SC,8,347,18.6,,X-Trt
2020,SC,8,352,16.2,,X-Trt
2020,SC,8,354,13,,X-Trt
2020,SC,8,357,48.3,,X-Trt
2020,SC,8,358,10.5,,X-Trt
2020,SC,8,362,48.4,,X-Trt
2020,SC,8,363,56.7,,X-Trt
2020,SC,8,365,37.7,,X-Trt
2020,SC,8,368,15.5,,X-Trt
2020,SC,8,951,9.5,,X-Trt
2021,SC,8,345,58.3,,X-Trt
2021,SC,8,347,19,,X-Trt
2021,SC,8,352,17.3,,X-Trt
2021,SC,8,354,13.7,,X-Trt
2021,SC,8,357,49.4,,X-Trt
2021,SC,8,358,10.6,,X-Trt
2021,SC,8,362,48.1,,X-Trt
2021,SC,8,363,56.8,,X-Trt
2021,SC,8,365,38,,X-Trt
2021,SC,8,368,15.7,,X-Trt
2021,SC,8,951,9.7,,X-Trt
2022,SC,8,345,58.5,,X-Trt
2022,SC,8,347,19.2,,X-Trt
2022,SC,8,352,17.3,2014 meas. above bump,X-Trt
2022,SC,8,354,14.3,,X-Trt
2022,SC,8,357,49.5,,X-Trt
2022,SC,8,358,10.5,2013 measure above bump; 2018 measure below bump; 2021 measured over bump,X-Trt
2022,SC,8,362,48.1,,X-Trt
2022,SC,8,363,57,,X-Trt
2022,SC,8,365,38.1,,X-Trt
2022,SC,8,368,15.7,,X-Trt
2022,SC,8,951,9.9,"New 2013 behind 357, meas including bump; 2017 oops not measured",X-Trt
2023,SC,8,345,58.7,,X-Trt
2023,SC,8,347,19.5,,X-Trt
2023,SC,8,352,17.5,snapped - still green,X-Trt
2023,SC,8,354,14.7,,X-Trt
2023,SC,8,357,49.6,,X-Trt
2023,SC,8,358,10.5,,X-Trt
2023,SC,8,362,48.3,,X-Trt
2023,SC,8,363,57.1,,X-Trt
2023,SC,8,365,38.4,,X-Trt
2023,SC,8,368,15.9,,X-Trt
2023,SC,8,951,10,,X-Trt
