Tree,Direction,Species,Cover Class
359,N,Buckthorn,2
359,S,Buckthorn,2
365,N,Buckthorn,2
361,S,Rose,2
347,N,Buckthorn,2
348,N,Buckthorn,2
348,S,Buckthorn,2
351,N,Buckthorn,2
351,S,Buckthorn,2
276,S,Rose,2
285,S,Rose,2
281,N,Lonicera,2
905,S,Buckthorn,2
903,S,Buckthorn,2
904,N,Lindera,2
904,S,Buckthorn,2
273,N,Rose,2
280,N,Lonicera,2
229,S,Rose,2
236,S,Privet,2
910,N,Rose,1
910,S,Rose,1
910,S,Rubus,1
909,N,Buckthorn,1
909,N,Rubus,1
909,N,Lindera,1
909,S,Buckthorn,1
909,S,Rose,1
909,S,Rubus,1
248,N,Lonicera,1
248,N,Rubus,1
248,N,Lindera,1
248,S,Buckthorn,1
248,S,Lonicera,1
248,S,Rubus,1
248,S,Lindera,1
925,N,Lindera,1
925,S,Buckthorn,1
925,S,Rubus,1
925,S,Lindera,1
208,N,Lonicera,1
208,N,Rubus,1
208,N,Lindera,1
208,S,Buckthorn,1
208,S,Lindera,1
203,N,Lonicera,1
203,N,Lindera,1
203,S,Buckthorn,1
203,S,Rubus,1
203,S,Lindera,1
214,N,Buckthorn,1
214,N,Lonicera,1
214,N,Rubus,1
214,N,Lindera,1
214,S,Lindera,1
210,N,Rose,1
210,N,Rubus,1
210,N,Lindera,1
210,S,Rose,1
210,S,Lonicera,1
915,N,Buckthorn,1
915,N,Rose,1
915,N,Lonicera,1
915,N,Rubus,1
915,S,Buckthorn,1
915,S,Lonicera,1
915,S,Rubus,1
211,N,Buckthorn,1
211,N,Rose,1
211,N,Lindera,1
211,S,Buckthorn,1
211,S,Rose,1
211,S,Rubus,1
250,N,Buckthorn,1
250,N,Rose,1
250,N,Privet,1
250,N,Lonicera,1
250,S,Buckthorn,1
250,S,Rose,1
250,S,Lonicera,1
206,N,Rose,1
206,N,Lindera,1
206,S,Rose,1
206,S,Lindera,1
161,N,Buckthorn,1
161,N,Rose,1
161,S,Buckthorn,1
161,S,Rose,1
211,N,Buckthorn,1
211,N,Lindera,1
211,S,Buckthorn,1
211,S,Rose,1
211,S,Rubus,1
914,N,Buckthorn,1
914,N,Rose,1
914,N,Rubus,1
914,S,Buckthorn,1
914,S,Rose,1
914,S,Rubus,1
914,S,Lindera,1
160,N,Rose,1
160,N,Lindera,1
160,S,Buckthorn,1
160,S,Rose,1
159,N,Buckthorn,1
159,N,Lonicera,1
159,N,Lindera,1
159,S,Buckthorn,1
159,S,Lindera,1
162,N,Buckthorn,1
162,N,Rose,1
162,S,Buckthorn,1
162,S,Rose,1
158,N,Buckthorn,1
158,N,Rose,1
158,S,Buckthorn,1
158,S,Rose,1
158,S,Lindera,1
156,N,Buckthorn,1
156,N,Rose,1
156,N,Lonicera,1
156,N,Lindera,1
156,S,Buckthorn,1
156,S,Rose,1
156,S,Rubus,1
157,N,Buckthorn,1
157,N,Lonicera,1
157,N,Rubus,1
157,S,Buckthorn,1
154,N,Buckthorn,1
154,N,Rose,1
154,N,Lonicera,1
154,S,Buckthorn,1
154,S,Rose,1
225,N,Buckthorn,1
225,N,Rose,1
225,N,Lonicera,1
225,N,Lindera,1
225,S,Buckthorn,1
225,S,Rose,1
225,S,Lindera,1
226,N,Buckthorn,1
226,N,Rose,1
226,N,Rubus,1
226,N,Lindera,1
226,S,Buckthorn,1
226,S,Rose,1
226,S,Lindera,1
224,N,Buckthorn,1
224,N,Rose,1
224,S,Rose,1
223,N,Buckthorn,1
223,N,Lonicera,1
223,S,Buckthorn,1
223,S,Rose,1
223,S,Lonicera,1
223,S,Lindera,1
218,N,Rose,1
218,S,Rose,1
218,S,Privet,1
217,N,Buckthorn,1
217,S,Buckthorn,1
215,N,Buckthorn,1
215,N,Rose,1
215,S,Buckthorn,1
215,S,Rose,1
215,S,Lindera,1
212,N,Buckthorn,1
212,N,Rose,1
212,N,Lindera,1
212,S,Buckthorn,1
212,S,Rose,1
209,N,Buckthorn,1
209,N,Rose,1
327,N,Buckthorn,1
327,N,Rose,1
327,S,Rose,1
327,S,Lonicera,1
321,N,Buckthorn,1
321,N,Lonicera,1
321,N,Lindera,1
321,S,Buckthorn,1
321,S,Rose,1
322,N,Buckthorn,1
322,N,Rose,1
322,S,Buckthorn,1
322,S,Rubus,1
323,N,Rose,1
323,S,Buckthorn,1
323,S,Lindera,1
324,N,Rose,1
315,N,Buckthorn,1
315,N,Rose,1
315,S,Buckthorn,1
315,S,Lonicera,1
278,N,Buckthorn,1
278,N,Rose,1
278,N,Privet,1
318,N,Buckthorn,1
318,N,Lonicera,1
318,S,Buckthorn,1
318,S,Rose,1
312,N,Buckthorn,1
312,N,Lonicera,1
312,S,Buckthorn,1
312,S,Lonicera,1
312,S,Rubus,1
317,N,Buckthorn,1
317,N,Privet,1
317,N,Rubus,1
317,S,Buckthorn,1
317,S,Rubus,1
328,N,Rose,1
328,N,Privet,1
328,N,Rubus,1
328,S,Buckthorn,1
328,S,Rose,1
328,S,Rubus,1
329,N,Buckthorn,1
329,N,Lonicera,1
329,S,Buckthorn,1
329,S,Rose,1
320,N,Rose,1
320,N,Privet,1
320,N,Lonicera,1
320,N,Rubus,1
320,S,Rose,1
320,S,Privet,1
320,S,Lonicera,1
320,S,Rubus,1
314,N,Buckthorn,1
314,N,Lonicera,1
314,S,Buckthorn,1
314,S,Lonicera,1
311,N,Rubus,1
311,S,Buckthorn,1
311,S,Rubus,1
316,N,Rose,1
316,S,Rose,1
313,N,Lonicera,1
313,N,Rubus,1
313,N,Maple Vib,1
313,S,Buckthorn,1
313,S,Rose,1
313,S,Lonicera,1
313,S,Rubus,1
319,N,Buckthorn,1
319,S,Buckthorn,1
319,S,Rose,1
319,S,Lonicera,1
907,S,Rose,1
908,N,Rose,1
908,S,Rose,1
908,S,Rubus,1
908,S,Lindera,1
207,N,Rubus,1
207,S,Buckthorn,1
207,S,Rubus,1
901,N,Buckthorn,1
901,N,Rubus,1
901,S,Rubus,1
902,N,Buckthorn,1
902,S,Buckthorn,1
902,S,Rose,1
205,N,Buckthorn,1
205,N,Rubus,1
205,S,Rubus,1
205,S,Lindera,1
204,N,Rubus,1
204,S,Buckthorn,1
204,S,Privet,1
911,N,Rubus,1
911,S,Buckthorn,1
911,S,Rubus,1
913,N,Lonicera,1
913,N,Rubus,1
913,N,Lindera,1
913,S,Buckthorn,1
913,S,Rose,1
912,N,Buckthorn,1
912,N,Rose,1
912,S,Buckthorn,1
912,S,Rose,1
926,N,Buckthorn,1
926,N,Rubus,1
926,N,Lindera,1
926,N,Maple Vib,1
926,S,Buckthorn,1
926,S,Rubus,1
926,S,Lindera,1
163,N,Buckthorn,1
163,N,Rose,1
163,S,Buckthorn,1
161,N,Buckthorn,1
161,N,Rose,1
161,S,Buckthorn,1
161,S,Rose,1
927,N,Buckthorn,1
927,N,Rubus,1
927,N,Lindera,1
216,N,Rose,1
216,S,Buckthorn,1
216,S,Rose,1
216,S,Rubus,1
213,N,Buckthorn,1
213,N,Rose,1
213,N,Maple Vib,1
213,S,Buckthorn,1
213,S,Rubus,1
164,N,Buckthorn,1
164,S,Buckthorn,1
164,S,Privet,1
164,S,Lonicera,1
155,N,Buckthorn,1
155,S,Buckthorn,1
219,N,Buckthorn,1
219,N,Rose,1
219,S,Buckthorn,1
219,S,Privet,1
220,N,Buckthorn,1
220,N,Privet,1
220,S,Buckthorn,1
220,S,Privet,1
330,N,Buckthorn,1
330,N,Rose,1
330,S,Buckthorn,1
330,S,Rose,1
330,S,Lonicera,1
339,N,Buckthorn,1
339,N,Rose,1
339,N,Lonicera,1
339,N,Rubus,1
339,S,Buckthorn,1
339,S,Rubus,1
341,N,Buckthorn,1
341,N,Rubus,1
341,S,Buckthorn,1
341,S,Rubus,1
342,N,Rose,1
342,N,Rubus,1
342,S,Buckthorn,1
342,S,Rose,1
342,S,Rubus,1
363,N,Buckthorn,1
363,S,Buckthorn,1
354,N,Buckthorn,1
354,S,Buckthorn,1
354,S,Rose,1
354,S,Privet,1
354,S,Lonicera,1
360,S,Buckthorn,1
333,N,Buckthorn,1
333,S,Buckthorn,1
333,S,Rose,1
326,N,Buckthorn,1
326,N,Rose,1
326,S,Buckthorn,1
336,N,Buckthorn,1
336,N,Rose,1
336,S,Buckthorn,1
336,S,Rose,1
325,N,Rose,1
325,N,Lonicera,1
325,N,Rubus,1
325,S,Buckthorn,1
325,S,Rose,1
325,S,Privet,1
325,S,Lonicera,1
325,S,Rubus,1
337,N,Lonicera,1
337,N,Rubus,1
337,S,Buckthorn,1
337,S,Rose,1
337,S,Lonicera,1
337,S,Rubus,1
340,N,Buckthorn,1
340,N,Rose,1
340,S,Buckthorn,1
358,N,Buckthorn,1
358,N,Rose,1
358,N,Lonicera,1
358,N,Rubus,1
358,S,Buckthorn,1
358,S,Lonicera,1
358,S,Rubus,1
335,N,Rose,1
335,N,Lonicera,1
335,N,Rubus,1
335,S,Buckthorn,1
335,S,Rose,1
335,S,Rubus,1
343,N,Buckthorn,1
343,N,Rose,1
343,N,Rubus,1
343,S,Buckthorn,1
343,S,Rose,1
343,S,Rubus,1
331,N,Buckthorn,1
331,S,Buckthorn,1
331,S,Rose,1
331,S,Lonicera,1
338,N,Buckthorn,1
338,N,Rose,1
338,S,Buckthorn,1
338,S,Rose,1
350,N,Buckthorn,1
350,S,Buckthorn,1
350,S,Privet,1
350,S,Lonicera,1
239,N,Rubus,1
239,S,Buckthorn,1
239,S,Rubus,1
237,N,Buckthorn,1
237,N,Rubus,1
237,S,Lonicera,1
237,S,Rubus,1
237,S,Maple Vib,1
332,N,Maple Vib,1
247,N,Buckthorn,1
247,N,Lonicera,1
247,N,Rubus,1
247,N,Maple Vib,1
247,S,Buckthorn,1
247,S,Privet,1
247,S,Rubus,1
238,N,Buckthorn,1
238,N,Rubus,1
238,S,Buckthorn,1
238,S,Rubus,1
242,N,Buckthorn,1
242,S,Buckthorn,1
242,S,Rubus,1
231,N,Rubus,1
231,S,Buckthorn,1
231,S,Rubus,1
246,N,Rubus,1
246,S,Lonicera,1
246,S,Rubus,1
249,N,Buckthorn,1
249,N,Lonicera,1
249,N,Rubus,1
249,S,Buckthorn,1
249,S,Rubus,1
241,N,Buckthorn,1
241,S,Buckthorn,1
232,N,Buckthorn,1
232,N,Lonicera,1
232,N,Rubus,1
232,S,Buckthorn,1
232,S,Privet,1
232,S,Rubus,1
233,N,Buckthorn,1
233,N,Lonicera,1
233,N,Rubus,1
233,S,Buckthorn,1
233,S,Rubus,1
243,N,Lonicera,1
243,N,Rubus,1
243,S,Lonicera,1
243,S,Rubus,1
245,N,Lonicera,1
245,N,Rubus,1
245,S,Lonicera,1
245,S,Rubus,1
244,N,Buckthorn,1
244,N,Rubus,1
244,N,Maple Vib,1
244,S,Buckthorn,1
244,S,Rubus,1
244,S,Maple Vib,1
235,N,Buckthorn,1
235,N,Rubus,1
235,S,Buckthorn,1
235,S,Lonicera,1
234,N,Buckthorn,1
234,N,Rubus,1
234,S,Buckthorn,1
234,S,Rubus,1
234,S,Maple Vib,1
240,N,Buckthorn,1
240,N,Rubus,1
240,N,Maple Vib,1
240,S,Buckthorn,1
240,S,Rubus,1
240,S,Maple Vib,1
227,S,Buckthorn,1
230,N,Lonicera,1
228,N,Buckthorn,1
228,N,Rose,1
228,N,Rubus,1
228,N,Maple Vib,1
228,S,Buckthorn,1
228,S,Rubus,1
228,S,Maple Vib,1
402,N,Maple Vib,1
402,S,Maple Vib,1
403,S,Maple Vib,1
404,N,Rose,1
404,S,Rose,1
406,N,Lindera,1
406,S,Buckthorn,1
405,S,Lindera,1
408,S,Rose,1
408,S,Maple Vib,1
410,N,Rose,1
410,N,Maple Vib,1
409,N,Maple Vib,1
409,S,Maple Vib,1
407,N,Buckthorn,1
407,N,Rose,1
407,S,Lonicera,1
357,N,Buckthorn,1
357,N,Rose,1
357,N,Privet,1
357,S,Rose,1
355,N,Buckthorn,1
355,N,Rose,1
355,S,Buckthorn,1
359,S,Rose,1
353,N,Buckthorn,1
353,N,Rose,1
353,S,Buckthorn,1
356,N,Buckthorn,1
356,S,Buckthorn,1
362,N,Buckthorn,1
362,N,Rubus,1
362,S,Buckthorn,1
349,N,Buckthorn,1
349,N,Rose,1
349,S,Buckthorn,1
349,S,Rose,1
365,S,Buckthorn,1
361,N,Buckthorn,1
361,N,Rubus,1
361,S,Buckthorn,1
347,N,Lonicera,1
347,S,Buckthorn,1
348,N,Lonicera,1
348,S,Privet,1
351,S,Rose,1
351,S,Lonicera,1
276,N,Buckthorn,1
276,N,Privet,1
276,S,Buckthorn,1
276,S,Lonicera,1
276,S,Rubus,1
285,N,Privet,1
285,N,Rubus,1
285,S,Buckthorn,1
285,S,Privet,1
281,N,Buckthorn,1
281,N,Rose,1
281,N,Rubus,1
281,S,Buckthorn,1
281,S,Rose,1
281,S,Lonicera,1
281,S,Rubus,1
281,S,Maple Vib,1
284,S,Buckthorn,1
368,N,Buckthorn,1
368,S,Buckthorn,1
366,N,Buckthorn,1
352,N,Buckthorn,1
352,N,Rose,1
352,N,Lonicera,1
352,S,Buckthorn,1
352,S,Rose,1
905,N,Buckthorn,1
905,N,Rose,1
905,N,Rubus,1
905,N,Lindera,1
905,S,Rose,1
905,S,Rubus,1
903,N,Buckthorn,1
903,N,Rubus,1
903,N,Lindera,1
903,S,Rubus,1
904,N,Buckthorn,1
904,N,Rubus,1
904,S,Rubus,1
273,N,Buckthorn,1
273,N,Rubus,1
273,S,Rose,1
273,S,Privet,1
273,S,Rubus,1
288,S,Maple Vib,1
280,N,Buckthorn,1
280,N,Rubus,1
280,S,Rubus,1
251,N,Buckthorn,1
251,N,Lonicera,1
251,N,Rubus,1
251,S,Buckthorn,1
251,S,Rubus,1
251,S,Maple Vib,1
279,N,Buckthorn,1
279,S,Buckthorn,1
277,N,Buckthorn,1
277,N,Rubus,1
277,S,Buckthorn,1
283,N,Buckthorn,1
283,S,Buckthorn,1
229,N,Buckthorn,1
229,N,Lonicera,1
229,N,Rubus,1
229,S,Buckthorn,1
229,S,Rubus,1
236,N,Buckthorn,1
236,N,Privet,1
236,N,Rubus,1
236,S,Buckthorn,1
236,S,Rubus,1
275,N,Buckthorn,1
275,N,Rose,1
275,N,Lonicera,1
275,N,Rubus,1
275,N,Lindera,1
275,S,Buckthorn,1
286,N,Buckthorn,1
286,N,Rose,1
286,N,Rubus,1
286,S,Buckthorn,1
274,N,Buckthorn,1
274,N,Rose,1
274,N,Rubus,1
274,S,Buckthorn,1
274,S,Rose,1
274,S,Rubus,1
287,S,Rose,1
287,S,Rubus,1
910,N,Buckthorn,0
910,N,Privet,0
910,N,Lonicera,0
910,N,Rubus,0
910,N,Lindera,0
910,N,Maple Vib,0
910,S,Buckthorn,0
910,S,Privet,0
910,S,Lonicera,0
910,S,Lindera,0
910,S,Maple Vib,0
909,N,Rose,0
909,N,Privet,0
909,N,Lonicera,0
909,N,Maple Vib,0
909,S,Privet,0
909,S,Lonicera,0
909,S,Lindera,0
909,S,Maple Vib,0
248,N,Buckthorn,0
248,N,Privet,0
248,N,Maple Vib,0
248,S,Privet,0
248,S,Maple Vib,0
925,N,Buckthorn,0
925,N,Privet,0
925,N,Lonicera,0
925,N,Rubus,0
925,N,Maple Vib,0
925,S,Privet,0
925,S,Lonicera,0
925,S,Maple Vib,0
208,N,Buckthorn,0
208,N,Privet,0
208,N,Maple Vib,0
208,S,Privet,0
208,S,Lonicera,0
208,S,Rubus,0
208,S,Maple Vib,0
203,N,Buckthorn,0
203,N,Privet,0
203,N,Rubus,0
203,N,Maple Vib,0
203,S,Privet,0
203,S,Lonicera,0
203,S,Maple Vib,0
214,N,Privet,0
214,N,Maple Vib,0
214,S,Buckthorn,0
214,S,Privet,0
214,S,Lonicera,0
214,S,Rubus,0
214,S,Maple Vib,0
210,N,Buckthorn,0
210,N,Privet,0
210,N,Lonicera,0
210,N,Maple Vib,0
210,S,Buckthorn,0
210,S,Privet,0
210,S,Rubus,0
210,S,Lindera,0
210,S,Maple Vib,0
915,N,Privet,0
915,N,Lindera,0
915,N,Maple Vib,0
915,S,Privet,0
915,S,Lindera,0
915,S,Maple Vib,0
211,N,Privet,0
211,N,Lonicera,0
211,N,Rubus,0
211,N,Maple Vib,0
211,S,Privet,0
211,S,Lonicera,0
211,S,Lindera,0
211,S,Maple Vib,0
250,N,Rubus,0
250,N,Lindera,0
250,N,Maple Vib,0
250,S,Privet,0
250,S,Rubus,0
250,S,Lindera,0
250,S,Maple Vib,0
206,N,Privet,0
206,N,Lonicera,0
206,N,Rubus,0
206,N,Maple Vib,0
206,S,Privet,0
206,S,Lonicera,0
206,S,Rubus,0
206,S,Maple Vib,0
161,N,Privet,0
161,N,Lonicera,0
161,N,Rubus,0
161,N,Lindera,0
161,N,Maple Vib,0
161,S,Privet,0
161,S,Lonicera,0
161,S,Rubus,0
161,S,Lindera,0
161,S,Maple Vib,0
211,N,Privet,0
211,N,Lonicera,0
211,N,Rubus,0
211,N,Maple Vib,0
211,S,Privet,0
211,S,Lonicera,0
211,S,Lindera,0
211,S,Maple Vib,0
914,N,Privet,0
914,N,Lonicera,0
914,N,Lindera,0
914,N,Maple Vib,0
914,S,Privet,0
914,S,Lonicera,0
914,S,Maple Vib,0
160,N,Buckthorn,0
160,N,Privet,0
160,N,Lonicera,0
160,N,Rubus,0
160,N,Maple Vib,0
160,S,Privet,0
160,S,Lonicera,0
160,S,Rubus,0
160,S,Lindera,0
160,S,Maple Vib,0
159,N,Rose,0
159,N,Privet,0
159,N,Rubus,0
159,N,Maple Vib,0
159,S,Rose,0
159,S,Privet,0
159,S,Lonicera,0
159,S,Rubus,0
159,S,Maple Vib,0
162,N,Privet,0
162,N,Lonicera,0
162,N,Rubus,0
162,N,Lindera,0
162,N,Maple Vib,0
162,S,Privet,0
162,S,Lonicera,0
162,S,Rubus,0
162,S,Lindera,0
162,S,Maple Vib,0
158,N,Privet,0
158,N,Lonicera,0
158,N,Rubus,0
158,N,Lindera,0
158,N,Maple Vib,0
158,S,Privet,0
158,S,Lonicera,0
158,S,Rubus,0
158,S,Maple Vib,0
156,N,Privet,0
156,N,Rubus,0
156,N,Maple Vib,0
156,S,Privet,0
156,S,Lonicera,0
156,S,Lindera,0
156,S,Maple Vib,0
157,N,Rose,0
157,N,Privet,0
157,N,Lindera,0
157,N,Maple Vib,0
157,S,Rose,0
157,S,Privet,0
157,S,Lonicera,0
157,S,Rubus,0
157,S,Lindera,0
157,S,Maple Vib,0
154,N,Privet,0
154,N,Rubus,0
154,N,Lindera,0
154,N,Maple Vib,0
154,S,Privet,0
154,S,Lonicera,0
154,S,Rubus,0
154,S,Lindera,0
154,S,Maple Vib,0
225,N,Privet,0
225,N,Rubus,0
225,N,Maple Vib,0
225,S,Privet,0
225,S,Lonicera,0
225,S,Rubus,0
225,S,Maple Vib,0
226,N,Privet,0
226,N,Lonicera,0
226,N,Maple Vib,0
226,S,Privet,0
226,S,Lonicera,0
226,S,Rubus,0
226,S,Maple Vib,0
224,N,Privet,0
224,N,Lonicera,0
224,N,Rubus,0
224,N,Lindera,0
224,N,Maple Vib,0
224,S,Buckthorn,0
224,S,Privet,0
224,S,Lonicera,0
224,S,Rubus,0
224,S,Lindera,0
224,S,Maple Vib,0
223,N,Privet,0
223,N,Rubus,0
223,N,Lindera,0
223,N,Maple Vib,0
223,S,Privet,0
223,S,Rubus,0
223,S,Maple Vib,0
221,N,Buckthorn,0
221,N,Rose,0
221,N,Privet,0
221,N,Lonicera,0
221,N,Rubus,0
221,N,Lindera,0
221,N,Maple Vib,0
221,S,Buckthorn,0
221,S,Rose,0
221,S,Privet,0
221,S,Lonicera,0
221,S,Rubus,0
221,S,Lindera,0
221,S,Maple Vib,0
222,N,Buckthorn,0
222,N,Rose,0
222,N,Privet,0
222,N,Lonicera,0
222,N,Rubus,0
222,N,Lindera,0
222,N,Maple Vib,0
222,S,Buckthorn,0
222,S,Rose,0
222,S,Privet,0
222,S,Lonicera,0
222,S,Rubus,0
222,S,Lindera,0
222,S,Maple Vib,0
218,N,Buckthorn,0
218,N,Privet,0
218,N,Lonicera,0
218,N,Rubus,0
218,N,Lindera,0
218,N,Maple Vib,0
218,S,Buckthorn,0
218,S,Lonicera,0
218,S,Rubus,0
218,S,Lindera,0
218,S,Maple Vib,0
217,N,Rose,0
217,N,Privet,0
217,N,Lonicera,0
217,N,Rubus,0
217,N,Lindera,0
217,N,Maple Vib,0
217,S,Rose,0
217,S,Privet,0
217,S,Lonicera,0
217,S,Rubus,0
217,S,Lindera,0
217,S,Maple Vib,0
215,N,Privet,0
215,N,Lonicera,0
215,N,Rubus,0
215,N,Lindera,0
215,N,Maple Vib,0
215,S,Privet,0
215,S,Lonicera,0
215,S,Rubus,0
215,S,Maple Vib,0
212,N,Privet,0
212,N,Lonicera,0
212,N,Rubus,0
212,N,Maple Vib,0
212,S,Privet,0
212,S,Lonicera,0
212,S,Rubus,0
212,S,Lindera,0
212,S,Maple Vib,0
209,N,Privet,0
209,N,Lonicera,0
209,N,Rubus,0
209,N,Lindera,0
209,N,Maple Vib,0
209,S,Buckthorn,0
209,S,Rose,0
209,S,Privet,0
209,S,Lonicera,0
209,S,Rubus,0
209,S,Lindera,0
209,S,Maple Vib,0
327,N,Privet,0
327,N,Lonicera,0
327,N,Rubus,0
327,N,Lindera,0
327,N,Maple Vib,0
327,S,Buckthorn,0
327,S,Privet,0
327,S,Rubus,0
327,S,Lindera,0
327,S,Maple Vib,0
321,N,Rose,0
321,N,Privet,0
321,N,Rubus,0
321,N,Maple Vib,0
321,S,Privet,0
321,S,Lonicera,0
321,S,Rubus,0
321,S,Lindera,0
321,S,Maple Vib,0
322,N,Privet,0
322,N,Lonicera,0
322,N,Rubus,0
322,N,Lindera,0
322,N,Maple Vib,0
322,S,Rose,0
322,S,Privet,0
322,S,Lonicera,0
322,S,Lindera,0
322,S,Maple Vib,0
323,N,Privet,0
323,N,Lonicera,0
323,N,Rubus,0
323,N,Lindera,0
323,N,Maple Vib,0
323,S,Rose,0
323,S,Privet,0
323,S,Lonicera,0
323,S,Rubus,0
323,S,Maple Vib,0
324,N,Privet,0
324,N,Lonicera,0
324,N,Rubus,0
324,N,Lindera,0
324,N,Maple Vib,0
324,S,Rose,0
324,S,Privet,0
324,S,Lonicera,0
324,S,Rubus,0
324,S,Lindera,0
324,S,Maple Vib,0
315,N,Privet,0
315,N,Lonicera,0
315,N,Rubus,0
315,N,Lindera,0
315,N,Maple Vib,0
315,S,Rose,0
315,S,Privet,0
315,S,Rubus,0
315,S,Lindera,0
315,S,Maple Vib,0
278,N,Lonicera,0
278,N,Rubus,0
278,N,Lindera,0
278,N,Maple Vib,0
278,S,Rose,0
278,S,Privet,0
278,S,Lonicera,0
278,S,Rubus,0
278,S,Lindera,0
278,S,Maple Vib,0
318,N,Rose,0
318,N,Privet,0
318,N,Rubus,0
318,N,Lindera,0
318,N,Maple Vib,0
318,S,Privet,0
318,S,Lonicera,0
318,S,Rubus,0
318,S,Lindera,0
318,S,Maple Vib,0
312,N,Privet,0
312,N,Rubus,0
312,N,Lindera,0
312,N,Maple Vib,0
312,S,Privet,0
312,S,Lindera,0
312,S,Maple Vib,0
317,N,Lonicera,0
317,N,Lindera,0
317,S,Privet,0
317,S,Lonicera,0
317,S,Lindera,0
317,S,Maple Vib,0
328,N,Lonicera,0
328,N,Lindera,0
328,N,Maple Vib,0
328,S,Privet,0
328,S,Lonicera,0
328,S,Lindera,0
328,S,Maple Vib,0
329,N,Rose,0
329,N,Privet,0
329,N,Rubus,0
329,N,Lindera,0
329,N,Maple Vib,0
329,S,Privet,0
329,S,Lonicera,0
329,S,Rubus,0
329,S,Lindera,0
329,S,Maple Vib,0
320,N,Lindera,0
320,N,Maple Vib,0
320,S,Lindera,0
320,S,Maple Vib,0
314,N,Rose,0
314,N,Privet,0
314,N,Rubus,0
314,N,Lindera,0
314,N,Maple Vib,0
314,S,Rose,0
314,S,Privet,0
314,S,Rubus,0
314,S,Lindera,0
314,S,Maple Vib,0
311,N,Buckthorn,0
311,N,Privet,0
311,N,Lonicera,0
311,N,Lindera,0
311,N,Maple Vib,0
311,S,Privet,0
311,S,Lindera,0
311,S,Maple Vib,0
316,N,Privet,0
316,N,Lonicera,0
316,N,Rubus,0
316,N,Lindera,0
316,N,Maple Vib,0
316,S,Privet,0
316,S,Lonicera,0
316,S,Rubus,0
316,S,Lindera,0
316,S,Maple Vib,0
313,N,Privet,0
313,N,Lindera,0
313,S,Privet,0
313,S,Lindera,0
313,S,Maple Vib,0
319,N,Privet,0
319,N,Lonicera,0
319,N,Rubus,0
319,N,Lindera,0
319,N,Maple Vib,0
319,S,Privet,0
319,S,Rubus,0
319,S,Lindera,0
319,S,Maple Vib,0
907,N,Privet,0
907,N,Lonicera,0
907,N,Rubus,0
